ksrl_sc_gould_ia_1_2_007,Book,Edition,Part,PlateNumber,Type,BaseFileName,FullFileName,TitleOnPiece,ArtistStatement,NamedArtists,PrinterStatement,Printer,Bird_1_CommonNameOnPiece,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_SpeciesNamers,Bird_1_AltCommonNamesOnPiece,Bird_1_OtherCommonNames,Bird_1_GenusModern,Bird_1_SpeciesModern,Bird_1_OtherGenusSpecies,Bird_1_DateCreated,Medium,Support,Size,SubjectNote,ContentNote,ArtistNote,PublicationNote,PhysicalConditionNote,Bird_2_CommonNamesOnPiece,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_SpeciesNamers,Bird_2_AltCommonNamesOnPiece,Bird_2_OtherCommonNames,Bird_2_GenusModern,Bird_2_SpeciesModern,Bird_2_DateCreated,Bird_2_OtherGenusSpecies,Bird_1_ModernNamer,Bird_1_ModernCommonName,Bird_2_ModernNamer,Bird_2_ModernCommonName,Bird_3_CommonNamesOnPiece,Bird_3_GenusOnPiece,Bird_3_SpeciesOnPiece,Bird_3_SpeciesNamers,Bird_3_AltCommonNamesOnPiece,Bird_3_OtherCommonNames,Bird_3_GenusModern,Bird_3_SpeciesModern,Bird_3_DateCreated,Bird_3_OtherGenusSpecies,Bird_3_ModernNamer,Bird_3_ModernCommonName
467,HB,1st,3,156,pl,ksrl_sc_gould_hb_1_3_156,ksrl_sc_gould_hb_1_3_156.tif,,,,,,,Thaumastura,evelinae,,,,Calliphlox,evelynae,,,,,,,,,,,,,,,,,,,,,"Bourcier, 1847","Bahama Woodstar, Bahaman Woodstar",,,,,,,,,,,,,,
476,HB,1st,3,159,pl,ksrl_sc_gould_hb_1_3_159,ksrl_sc_gould_hb_1_3_159.tif,,,,,,,Calliphlox,amethystina,,,,Calliphlox,amethystina,,,,,,,,,,,,,,,,,,,,,"Boddaert, 1783",Amethyst Woodstar,,,,,,,,,,,,,,
479,HB,1st,3,160,pl,ksrl_sc_gould_hb_1_3_160,ksrl_sc_gould_hb_1_3_160.tif,,,,,,,Calliphlox,mitchelli,,,,Calliphlox,mitchellii,,,,,,,,,,,,,,,,,,,,,"Bourcier, 1847",Purple-throated Woodstar,,,,,,,,,,,,,,
1172,HB,1S,1,34,pl,ksrl_sc_gould_hb_1s_1_034,ksrl_sc_gould_hb_1s_1_034.tif,,,,,,,Doricha,bryantae,,,,Calliphlox,bryantae,,,,,,,,,,,,,,,,,,,,,"Lawrence, 1867",Magenta-throated Woodstar,,,,,,,,,,,,,,
1175,HB,1S,1,35,pl,ksrl_sc_gould_hb_1s_1_035,ksrl_sc_gould_hb_1s_1_035.tif,,,,,,,Doricha,lyrura,,,,Calliphlox,evelynae��,lyrura,,,,,,,,,,,,,,,,,,,,"Gould, 1869","Bahama Woodstar, Bahaman Woodstar",,,,,,,,,,,,,,
1073,HB,1st,5,359,pl,ksrl_sc_gould_hb_1_5_359,ksrl_sc_gould_hb_1_5_359.tif,,,,,,,Smaragdochrysis,iridescens,,,,Calliphlox amethystina x Chlorostilbon aureoventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,AU,1st,5,14,pl,ksrl_sc_gould_au_1_5_014,ksrl_sc_gould_au_1_5_014.tif,,,,,,Gang-gang cockatoo,Callocephalon,galeatum,,,,Callocephalon,fimbriatum,,,,,,,,,,,,,,,,,,,,,"J. Grant, 1803",Gang-gang Cockatoo,,,,,,,,,,,,,,
376,MM,1st,2,66,pl,ksrl_sc_gould_mm_1_2_066,ksrl_sc_gould_mm_1_2_066.tif,,,,,,Plain-loving jerboa-kangaroo,Bettongia,campestris,,,,Caloprymnus,campestris,,,,,,,,,,,,,,,,,,,,,"Gould, 1843",Desert Rat-kangaroo,,,,,,,,,,,,,,
428,HB,1st,3,143,pl,ksrl_sc_gould_hb_1_3_143,ksrl_sc_gould_hb_1_3_143.tif,,,,,,,Calothorax,cyanopogon,,,,Calothorax,lucifer,,,,,,,,,,,,,,,,,,,,,"Swainson, 1827","Lucifer Hummingbird, Lucifer Sheartail, Colibr�_ lucifer",,,,,,,,,,,,,,
431,HB,1st,3,144,pl,ksrl_sc_gould_hb_1_3_144,ksrl_sc_gould_hb_1_3_144.tif,,,,,,,Calothorax,pulchra,,,,Calothorax,pulcher��,,,,,,,,,,,,,,,,,,,,,"Gould, 1859","Beautiful Hummingbird, Beautiful Sheartail, Colibr�_ oaxaque̱o",,,,,,,,,,,,,,
